generator	BR (F/B)	BR (R/L)	FR	estimated	actual
F2 R2 L2 F2	2	2	0	4	4
F2 R2 L2 B2	2	0	0	2	4
F2 R2 L2 U2	2	1	1	4	4
F2 R2 L2 D2	2	1	1	4	4
F2 R2 U2 F2	1	2	1	4	4
F2 R2 U2 B2	1	2	1	4	4
F2 R2 U2 R2	2	1	1	4	4
F2 R2 U2 L2	2	1	1	4	4
F2 R2 U2 D2	1	1	2	4	4
F2 R2 D2 F2	1	2	1	4	4
F2 R2 D2 B2	1	2	1	4	4
F2 R2 D2 R2	2	1	1	4	4
F2 R2 D2 L2	2	1	1	4	4
F2 L2 F2 B2	1	3	0	4	4
F2 L2 F2 R2	2	2	0	4	4
F2 L2 F2 L2	2	2	0	4	4
F2 L2 F2 U2	1	2	1	4	4
F2 L2 F2 D2	1	2	1	4	4
F2 L2 B2 R2	2	2	0	4	4
F2 L2 B2 L2	2	2	0	4	4
F2 L2 B2 U2	1	2	1	4	4
F2 L2 B2 D2	1	2	1	4	4
F2 L2 U2 F2	1	2	1	4	4
F2 L2 U2 B2	1	2	1	4	4
F2 L2 U2 R2	2	1	1	4	4
F2 L2 U2 L2	2	1	1	4	4
F2 L2 U2 D2	1	1	2	4	4
F2 L2 D2 F2	1	2	1	4	4
F2 L2 D2 B2	1	2	1	4	4
F2 L2 D2 R2	2	1	1	4	4
F2 L2 D2 L2	2	1	1	4	4
F2 U2 F2 B2	0	3	1	4	4
F2 U2 F2 R2	1	2	1	4	4
F2 U2 F2 L2	1	2	1	4	4
F2 U2 F2 U2	0	2	2	4	4
F2 U2 F2 D2	0	2	2	4	4
F2 U2 B2 R2	1	2	1	4	4
F2 U2 B2 L2	1	2	1	4	4
F2 U2 B2 U2	0	2	2	4	4
F2 U2 B2 D2	0	2	2	4	4
F2 U2 R2 F2	1	2	1	4	4
F2 U2 R2 B2	1	2	1	4	4
F2 U2 R2 L2	2	1	1	4	4
F2 U2 R2 U2	1	1	2	4	4
F2 U2 R2 D2	1	1	2	4	4
F2 U2 L2 F2	1	2	1	4	4
F2 U2 L2 B2	1	2	1	4	4
F2 U2 L2 U2	1	1	2	4	4
F2 U2 L2 D2	1	1	2	4	4
F2 D2 F2 B2	0	3	1	4	4
F2 D2 F2 R2	1	2	1	4	4
F2 D2 F2 L2	1	2	1	4	4
F2 D2 B2 R2	1	2	1	4	4
F2 D2 B2 L2	1	2	1	4	4
F2 D2 R2 F2	1	2	1	4	4
F2 D2 R2 B2	1	2	1	4	4
F2 D2 R2 L2	2	1	1	4	4
F2 D2 L2 F2	1	2	1	4	4
F2 D2 L2 B2	1	2	1	4	4
B2 R2 F2 B2	1	3	0	4	4
B2 R2 F2 R2	2	2	0	4	4
B2 R2 F2 L2	2	2	0	4	4
B2 R2 F2 U2	1	2	1	4	4
B2 R2 F2 D2	1	2	1	4	4
B2 R2 B2 R2	2	2	0	4	4
B2 R2 B2 L2	2	2	0	4	4
B2 R2 B2 U2	1	2	1	4	4
B2 R2 B2 D2	1	2	1	4	4
B2 R2 L2 U2	2	1	1	4	4
B2 R2 L2 D2	2	1	1	4	4
B2 R2 U2 F2	1	2	1	4	4
B2 R2 U2 B2	1	2	1	4	4
B2 R2 U2 R2	2	1	1	4	4
B2 R2 U2 L2	2	1	1	4	4
B2 R2 U2 D2	1	1	2	4	4
B2 R2 D2 F2	1	2	1	4	4
B2 R2 D2 B2	1	2	1	4	4
B2 R2 D2 R2	2	1	1	4	4
B2 R2 D2 L2	2	1	1	4	4
B2 L2 F2 B2	1	3	0	4	4
B2 L2 F2 R2	2	2	0	4	4
B2 L2 F2 L2	2	2	0	4	4
B2 L2 F2 U2	1	2	1	4	4
B2 L2 F2 D2	1	2	1	4	4
B2 L2 B2 R2	2	2	0	4	4
B2 L2 B2 L2	2	2	0	4	4
B2 L2 B2 U2	1	2	1	4	4
B2 L2 B2 D2	1	2	1	4	4
B2 L2 U2 F2	1	2	1	4	4
B2 L2 U2 B2	1	2	1	4	4
B2 L2 U2 R2	2	1	1	4	4
B2 L2 U2 L2	2	1	1	4	4
B2 L2 U2 D2	1	1	2	4	4
B2 L2 D2 F2	1	2	1	4	4
B2 L2 D2 B2	1	2	1	4	4
B2 L2 D2 R2	2	1	1	4	4
B2 L2 D2 L2	2	1	1	4	4
B2 U2 F2 B2	0	3	1	4	4
B2 U2 F2 R2	1	2	1	4	4
B2 U2 F2 L2	1	2	1	4	4
B2 U2 F2 U2	0	2	2	4	4
B2 U2 F2 D2	0	2	2	4	4
B2 U2 B2 R2	1	2	1	4	4
B2 U2 B2 L2	1	2	1	4	4
B2 U2 B2 U2	0	2	2	4	4
B2 U2 B2 D2	0	2	2	4	4
B2 U2 R2 F2	1	2	1	4	4
B2 U2 R2 B2	1	2	1	4	4
B2 U2 R2 L2	2	1	1	4	4
B2 U2 R2 U2	1	1	2	4	4
B2 U2 R2 D2	1	1	2	4	4
B2 U2 L2 F2	1	2	1	4	4
B2 U2 L2 B2	1	2	1	4	4
B2 U2 L2 U2	1	1	2	4	4
B2 U2 L2 D2	1	1	2	4	4
B2 D2 F2 B2	0	3	1	4	4
B2 D2 F2 R2	1	2	1	4	4
B2 D2 F2 L2	1	2	1	4	4
B2 D2 B2 R2	1	2	1	4	4
B2 D2 B2 L2	1	2	1	4	4
B2 D2 R2 F2	1	2	1	4	4
B2 D2 R2 B2	1	2	1	4	4
B2 D2 R2 L2	2	1	1	4	4
B2 D2 L2 F2	1	2	1	4	4
B2 D2 L2 B2	1	2	1	4	4
R2 F2 B2 R2	2	2	0	4	4
R2 F2 B2 L2	0	2	0	2	4
R2 F2 B2 U2	1	2	1	4	4
R2 F2 B2 D2	1	2	1	4	4
R2 F2 R2 F2	2	2	0	4	4
R2 F2 R2 B2	2	2	0	4	4
R2 F2 R2 L2	3	1	0	4	4
R2 F2 R2 U2	2	1	1	4	4
R2 F2 R2 D2	2	1	1	4	4
R2 F2 L2 F2	2	2	0	4	4
R2 F2 L2 B2	2	2	0	4	4
R2 F2 L2 U2	2	1	1	4	4
R2 F2 L2 D2	2	1	1	4	4
R2 F2 U2 F2	1	2	1	4	4
R2 F2 U2 B2	1	2	1	4	4
R2 F2 U2 R2	2	1	1	4	4
R2 F2 U2 L2	2	1	1	4	4
R2 F2 U2 D2	1	1	2	4	4
R2 F2 D2 F2	1	2	1	4	4
R2 F2 D2 B2	1	2	1	4	4
R2 F2 D2 R2	2	1	1	4	4
R2 F2 D2 L2	2	1	1	4	4
R2 B2 R2 F2	2	2	0	4	4
R2 B2 R2 B2	2	2	0	4	4
R2 B2 R2 L2	3	1	0	4	4
R2 B2 R2 U2	2	1	1	4	4
R2 B2 R2 D2	2	1	1	4	4
R2 B2 L2 F2	2	2	0	4	4
R2 B2 L2 B2	2	2	0	4	4
R2 B2 L2 U2	2	1	1	4	4
R2 B2 L2 D2	2	1	1	4	4
R2 B2 U2 F2	1	2	1	4	4
R2 B2 U2 B2	1	2	1	4	4
R2 B2 U2 R2	2	1	1	4	4
R2 B2 U2 L2	2	1	1	4	4
R2 B2 U2 D2	1	1	2	4	4
R2 B2 D2 F2	1	2	1	4	4
R2 B2 D2 B2	1	2	1	4	4
R2 B2 D2 R2	2	1	1	4	4
R2 B2 D2 L2	2	1	1	4	4
R2 L2 F2 R2	3	1	0	4	4
R2 L2 F2 L2	3	1	0	4	4
R2 L2 F2 U2	2	1	1	4	4
R2 L2 F2 D2	2	1	1	4	4
R2 L2 B2 R2	3	1	0	4	4
R2 L2 B2 L2	3	1	0	4	4
R2 L2 B2 U2	2	1	1	4	4
R2 L2 B2 D2	2	1	1	4	4
R2 L2 U2 F2	2	1	1	4	4
R2 L2 U2 B2	2	1	1	4	4
R2 L2 U2 R2	3	0	1	4	4
R2 L2 U2 L2	3	0	1	4	4
R2 L2 U2 D2	2	0	2	4	4
R2 L2 D2 F2	2	1	1	4	4
R2 L2 D2 B2	2	1	1	4	4
R2 L2 D2 R2	3	0	1	4	4
R2 L2 D2 L2	3	0	1	4	4
R2 U2 F2 B2	1	2	1	4	4
R2 U2 F2 R2	2	1	1	4	4
R2 U2 F2 L2	2	1	1	4	4
R2 U2 F2 U2	1	1	2	4	4
R2 U2 F2 D2	1	1	2	4	4
R2 U2 B2 R2	2	1	1	4	4
R2 U2 B2 L2	2	1	1	4	4
R2 U2 B2 U2	1	1	2	4	4
R2 U2 B2 D2	1	1	2	4	4
R2 U2 R2 F2	2	1	1	4	4
R2 U2 R2 B2	2	1	1	4	4
R2 U2 R2 L2	3	0	1	4	4
R2 U2 R2 U2	2	0	2	4	4
R2 U2 R2 D2	2	0	2	4	4
R2 U2 L2 F2	2	1	1	4	4
R2 U2 L2 B2	2	1	1	4	4
R2 U2 L2 U2	2	0	2	4	4
R2 U2 L2 D2	2	0	2	4	4
R2 D2 F2 B2	1	2	1	4	4
R2 D2 F2 R2	2	1	1	4	4
R2 D2 F2 L2	2	1	1	4	4
R2 D2 B2 R2	2	1	1	4	4
R2 D2 B2 L2	2	1	1	4	4
R2 D2 R2 F2	2	1	1	4	4
R2 D2 R2 B2	2	1	1	4	4
R2 D2 R2 L2	3	0	1	4	4
R2 D2 L2 F2	2	1	1	4	4
R2 D2 L2 B2	2	1	1	4	4
L2 F2 B2 U2	1	2	1	4	4
L2 F2 B2 D2	1	2	1	4	4
L2 F2 R2 F2	2	2	0	4	4
L2 F2 R2 B2	2	2	0	4	4
L2 F2 R2 L2	3	1	0	4	4
L2 F2 R2 U2	2	1	1	4	4
L2 F2 R2 D2	2	1	1	4	4
L2 F2 L2 F2	2	2	0	4	4
L2 F2 L2 B2	2	2	0	4	4
L2 F2 L2 U2	2	1	1	4	4
L2 F2 L2 D2	2	1	1	4	4
L2 F2 U2 F2	1	2	1	4	4
L2 F2 U2 B2	1	2	1	4	4
L2 F2 U2 R2	2	1	1	4	4
L2 F2 U2 L2	2	1	1	4	4
L2 F2 U2 D2	1	1	2	4	4
L2 F2 D2 F2	1	2	1	4	4
L2 F2 D2 B2	1	2	1	4	4
L2 F2 D2 R2	2	1	1	4	4
L2 F2 D2 L2	2	1	1	4	4
L2 B2 R2 F2	2	2	0	4	4
L2 B2 R2 B2	2	2	0	4	4
L2 B2 R2 L2	3	1	0	4	4
L2 B2 R2 U2	2	1	1	4	4
L2 B2 R2 D2	2	1	1	4	4
L2 B2 L2 F2	2	2	0	4	4
L2 B2 L2 B2	2	2	0	4	4
L2 B2 L2 U2	2	1	1	4	4
L2 B2 L2 D2	2	1	1	4	4
L2 B2 U2 F2	1	2	1	4	4
L2 B2 U2 B2	1	2	1	4	4
L2 B2 U2 R2	2	1	1	4	4
L2 B2 U2 L2	2	1	1	4	4
L2 B2 U2 D2	1	1	2	4	4
L2 B2 D2 F2	1	2	1	4	4
L2 B2 D2 B2	1	2	1	4	4
L2 B2 D2 R2	2	1	1	4	4
L2 B2 D2 L2	2	1	1	4	4
L2 U2 F2 B2	1	2	1	4	4
L2 U2 F2 R2	2	1	1	4	4
L2 U2 F2 L2	2	1	1	4	4
L2 U2 F2 U2	1	1	2	4	4
L2 U2 F2 D2	1	1	2	4	4
L2 U2 B2 R2	2	1	1	4	4
L2 U2 B2 L2	2	1	1	4	4
L2 U2 B2 U2	1	1	2	4	4
L2 U2 B2 D2	1	1	2	4	4
L2 U2 R2 F2	2	1	1	4	4
L2 U2 R2 B2	2	1	1	4	4
L2 U2 R2 L2	3	0	1	4	4
L2 U2 R2 U2	2	0	2	4	4
L2 U2 R2 D2	2	0	2	4	4
L2 U2 L2 F2	2	1	1	4	4
L2 U2 L2 B2	2	1	1	4	4
L2 U2 L2 U2	2	0	2	4	4
L2 U2 L2 D2	2	0	2	4	4
L2 D2 F2 B2	1	2	1	4	4
L2 D2 F2 R2	2	1	1	4	4
L2 D2 F2 L2	2	1	1	4	4
L2 D2 B2 R2	2	1	1	4	4
L2 D2 B2 L2	2	1	1	4	4
L2 D2 R2 F2	2	1	1	4	4
L2 D2 R2 B2	2	1	1	4	4
L2 D2 R2 L2	3	0	1	4	4
L2 D2 L2 F2	2	1	1	4	4
L2 D2 L2 B2	2	1	1	4	4
U2 F2 B2 R2	1	2	1	4	4
U2 F2 B2 L2	1	2	1	4	4
U2 F2 B2 U2	0	2	2	4	4
U2 F2 B2 D2	0	2	2	4	4
U2 F2 R2 F2	1	2	1	4	4
U2 F2 R2 B2	1	2	1	4	4
U2 F2 R2 L2	2	1	1	4	4
U2 F2 R2 U2	1	1	2	4	4
U2 F2 R2 D2	1	1	2	4	4
U2 F2 L2 F2	1	2	1	4	4
U2 F2 L2 B2	1	2	1	4	4
U2 F2 L2 U2	1	1	2	4	4
U2 F2 L2 D2	1	1	2	4	4
U2 F2 U2 F2	0	2	2	4	4
U2 F2 U2 B2	0	2	2	4	4
U2 F2 D2 F2	0	2	2	4	4
U2 F2 D2 B2	0	2	2	4	4
U2 B2 R2 F2	1	2	1	4	4
U2 B2 R2 B2	1	2	1	4	4
U2 B2 R2 L2	2	1	1	4	4
U2 B2 R2 U2	1	1	2	4	4
U2 B2 R2 D2	1	1	2	4	4
U2 B2 L2 F2	1	2	1	4	4
U2 B2 L2 B2	1	2	1	4	4
U2 B2 L2 U2	1	1	2	4	4
U2 B2 L2 D2	1	1	2	4	4
U2 B2 U2 F2	0	2	2	4	4
U2 B2 U2 B2	0	2	2	4	4
U2 B2 D2 F2	0	2	2	4	4
U2 B2 D2 B2	0	2	2	4	4
U2 R2 F2 B2	1	2	1	4	4
U2 R2 F2 R2	2	1	1	4	4
U2 R2 F2 L2	2	1	1	4	4
U2 R2 F2 U2	1	1	2	4	4
U2 R2 F2 D2	1	1	2	4	4
U2 R2 B2 R2	2	1	1	4	4
U2 R2 B2 L2	2	1	1	4	4
U2 R2 B2 U2	1	1	2	4	4
U2 R2 B2 D2	1	1	2	4	4
U2 R2 L2 F2	2	1	1	4	4
U2 R2 L2 B2	2	1	1	4	4
U2 R2 L2 U2	2	0	2	4	4
U2 R2 L2 D2	2	0	2	4	4
U2 R2 U2 R2	2	0	2	4	4
U2 R2 U2 L2	2	0	2	4	4
U2 R2 D2 R2	2	0	2	4	4
U2 R2 D2 L2	2	0	2	4	4
U2 L2 F2 B2	1	2	1	4	4
U2 L2 F2 R2	2	1	1	4	4
U2 L2 F2 L2	2	1	1	4	4
U2 L2 F2 U2	1	1	2	4	4
U2 L2 F2 D2	1	1	2	4	4
U2 L2 B2 R2	2	1	1	4	4
U2 L2 B2 L2	2	1	1	4	4
U2 L2 B2 U2	1	1	2	4	4
U2 L2 B2 D2	1	1	2	4	4
U2 L2 U2 R2	2	0	2	4	4
U2 L2 U2 L2	2	0	2	4	4
U2 L2 D2 R2	2	0	2	4	4
U2 L2 D2 L2	2	0	2	4	4
D2 F2 B2 R2	1	2	1	4	4
D2 F2 B2 L2	1	2	1	4	4
D2 F2 R2 F2	1	2	1	4	4
D2 F2 R2 B2	1	2	1	4	4
D2 F2 R2 L2	2	1	1	4	4
D2 F2 L2 F2	1	2	1	4	4
D2 F2 L2 B2	1	2	1	4	4
D2 B2 R2 F2	1	2	1	4	4
D2 B2 R2 B2	1	2	1	4	4
D2 B2 R2 L2	2	1	1	4	4
D2 B2 L2 F2	1	2	1	4	4
D2 B2 L2 B2	1	2	1	4	4
D2 R2 F2 B2	1	2	1	4	4
D2 R2 F2 R2	2	1	1	4	4
D2 R2 F2 L2	2	1	1	4	4
D2 R2 B2 R2	2	1	1	4	4
D2 R2 B2 L2	2	1	1	4	4
D2 R2 L2 F2	2	1	1	4	4
D2 R2 L2 B2	2	1	1	4	4
D2 L2 F2 B2	1	2	1	4	4
D2 L2 F2 R2	2	1	1	4	4
D2 L2 F2 L2	2	1	1	4	4
D2 L2 B2 R2	2	1	1	4	4
D2 L2 B2 L2	2	1	1	4	4
F2 B2 R2 F2 B2	1	2	0	3	5
F2 B2 R2 F2 R2	2	3	0	5	5
F2 B2 R2 F2 L2	2	3	0	5	5
F2 B2 R2 F2 U2	1	3	1	5	5
F2 B2 R2 F2 D2	1	3	1	5	5
F2 B2 R2 B2 R2	2	3	0	5	5
F2 B2 R2 B2 L2	2	3	0	5	5
F2 B2 R2 B2 U2	1	3	1	5	5
F2 B2 R2 B2 D2	1	3	1	5	5
F2 B2 R2 L2 U2	2	2	1	5	5
F2 B2 R2 L2 D2	2	2	1	5	5
F2 B2 R2 U2 F2	1	3	1	5	5
F2 B2 R2 U2 B2	1	3	1	5	5
F2 B2 R2 U2 R2	2	2	1	5	5
F2 B2 R2 U2 L2	2	2	1	5	5
F2 B2 R2 U2 D2	1	2	2	5	5
F2 B2 R2 D2 F2	1	3	1	5	5
F2 B2 R2 D2 B2	1	3	1	5	5
F2 B2 R2 D2 R2	2	2	1	5	5
F2 B2 R2 D2 L2	2	2	1	5	5
F2 B2 L2 F2 B2	1	2	0	3	5
F2 B2 L2 F2 R2	2	3	0	5	5
F2 B2 L2 F2 L2	2	3	0	5	5
F2 B2 L2 F2 U2	1	3	1	5	5
F2 B2 L2 F2 D2	1	3	1	5	5
F2 B2 L2 B2 R2	2	3	0	5	5
F2 B2 L2 B2 L2	2	3	0	5	5
F2 B2 L2 B2 U2	1	3	1	5	5
F2 B2 L2 B2 D2	1	3	1	5	5
F2 B2 L2 U2 F2	1	3	1	5	5
F2 B2 L2 U2 B2	1	3	1	5	5
F2 B2 L2 U2 R2	2	2	1	5	5
F2 B2 L2 U2 L2	2	2	1	5	5
F2 B2 L2 U2 D2	1	2	2	5	5
F2 B2 L2 D2 F2	1	3	1	5	5
F2 B2 L2 D2 B2	1	3	1	5	5
F2 B2 L2 D2 R2	2	2	1	5	5
F2 B2 L2 D2 L2	2	2	1	5	5
F2 B2 U2 F2 B2	0	2	1	3	5
F2 B2 U2 F2 R2	1	3	1	5	5
F2 B2 U2 F2 L2	1	3	1	5	5
F2 B2 U2 F2 U2	0	3	2	5	5
F2 B2 U2 F2 D2	0	3	2	5	5
F2 B2 U2 B2 R2	1	3	1	5	5
F2 B2 U2 B2 L2	1	3	1	5	5
F2 B2 U2 B2 U2	0	3	2	5	5
F2 B2 U2 B2 D2	0	3	2	5	5
F2 B2 U2 R2 F2	1	3	1	5	5
F2 B2 U2 R2 B2	1	3	1	5	5
F2 B2 U2 R2 L2	2	2	1	5	5
F2 B2 U2 R2 U2	1	2	2	5	5
F2 B2 U2 R2 D2	1	2	2	5	5
F2 B2 U2 L2 F2	1	3	1	5	5
F2 B2 U2 L2 B2	1	3	1	5	5
F2 B2 U2 L2 U2	1	2	2	5	5
F2 B2 U2 L2 D2	1	2	2	5	5
F2 B2 D2 F2 B2	0	2	1	3	5
F2 B2 D2 F2 R2	1	3	1	5	5
F2 B2 D2 F2 L2	1	3	1	5	5
F2 B2 D2 B2 R2	1	3	1	5	5
F2 B2 D2 B2 L2	1	3	1	5	5
F2 B2 D2 R2 F2	1	3	1	5	5
F2 B2 D2 R2 B2	1	3	1	5	5
F2 B2 D2 R2 L2	2	2	1	5	5
F2 B2 D2 L2 F2	1	3	1	5	5
F2 B2 D2 L2 B2	1	3	1	5	5
F2 R2 F2 B2 R2	2	3	0	5	5
F2 R2 F2 B2 L2	0	3	0	3	5
F2 R2 F2 B2 U2	1	3	1	5	5
F2 R2 F2 B2 D2	1	3	1	5	5
F2 R2 F2 R2 F2	2	3	0	5	5
F2 R2 F2 R2 B2	2	3	0	5	5
F2 R2 F2 R2 L2	3	2	0	5	5
F2 R2 F2 R2 U2	2	2	1	5	5
F2 R2 F2 R2 D2	2	2	1	5	5
F2 R2 F2 L2 F2	2	3	0	5	5
F2 R2 F2 L2 B2	2	3	0	5	5
F2 R2 F2 L2 U2	2	2	1	5	5
F2 R2 F2 L2 D2	2	2	1	5	5
F2 R2 F2 U2 F2	1	3	1	5	5
F2 R2 F2 U2 B2	1	3	1	5	5
F2 R2 F2 U2 R2	2	2	1	5	5
F2 R2 F2 U2 L2	2	2	1	5	5
F2 R2 F2 U2 D2	1	2	2	5	5
F2 R2 F2 D2 F2	1	3	1	5	5
F2 R2 F2 D2 B2	1	3	1	5	5
F2 R2 F2 D2 R2	2	2	1	5	5
F2 R2 F2 D2 L2	2	2	1	5	5
F2 R2 B2 R2 F2	2	3	0	5	5
F2 R2 B2 R2 B2	2	3	0	5	5
F2 R2 B2 R2 L2	3	2	0	5	5
F2 R2 B2 R2 U2	2	2	1	5	5
F2 R2 B2 R2 D2	2	2	1	5	5
F2 R2 B2 L2 F2	2	3	0	5	5
F2 R2 B2 L2 B2	2	3	0	5	5
F2 R2 B2 L2 U2	2	2	1	5	5
F2 R2 B2 L2 D2	2	2	1	5	5
F2 R2 B2 U2 F2	1	3	1	5	5
F2 R2 B2 U2 B2	1	3	1	5	5
F2 R2 B2 U2 R2	2	2	1	5	5
F2 R2 B2 U2 L2	2	2	1	5	5
F2 R2 B2 U2 D2	1	2	2	5	5
F2 R2 B2 D2 F2	1	3	1	5	5
F2 R2 B2 D2 B2	1	3	1	5	5
F2 R2 B2 D2 R2	2	2	1	5	5
F2 R2 B2 D2 L2	2	2	1	5	5
F2 R2 L2 F2 R2	3	2	0	5	5
F2 R2 L2 F2 L2	3	2	0	5	5
F2 R2 L2 F2 U2	2	2	1	5	5
F2 R2 L2 F2 D2	2	2	1	5	5
F2 R2 L2 B2 R2	3	0	0	3	5
F2 R2 L2 B2 L2	3	0	0	3	5
F2 R2 L2 B2 U2	2	0	1	3	5
F2 R2 L2 B2 D2	2	0	1	3	5
